Latitude,Longtitude
713519.7798,1570661.6221250002
713475.4971,1570629.9916250003
713408.8334250001,1570297.0886000001
713396.67645,1570943.8364750003
713326.96155,1570358.52845
713414.0253,1570328.7191
713222.437125,1570700.217725
713159.5435500001,1570710.9369500002
713219.1462750001,1570642.2125000001
713423.786025,1570889.0102750002
713210.839275,1570552.992125
713193.170925,1570578.1208000001
713614.00035,1570645.2317750002
713380.8132750001,1570950.9613250003
713269.6432500001,1570696.351775
713240.2812000001,1570574.3666750002
713485.0182,1570415.671025
713677.8045,1570524.2531
713466.343425,1570845.0311000003
713326.1468250001,1571050.9808000003
713480.720925,1570366.7715500002
713319.533175,1571045.9646500002
713533.4544,1570394.3923250001
713202.180825,1570658.0277500001
713482.81365,1570829.0720750003
713464.15485,1570677.4693250002
713115.64425,1570679.7218000002
713444.521575,1570543.183475
713418.737925,1570857.3478250003
713366.3718750001,1570341.6428750001
713561.107125,1570524.5885750002
713277.806475,1570784.8373000002
713368.256925,1570315.3799750002
713563.2957,1570498.59725
713428.75425,1570836.8678750002
713430.0642,1570819.3113500003
713260.7132250001,1570699.5787250001
713267.8700250001,1570713.7485500001
713458.21215,1570849.1526500003
713250.7448250001,1570738.1264000002
713230.0572,1571000.7234500002
713725.5218250001,1570518.9334250002
713431.166475,1570312.3447250002
713651.4138,1570561.331075
713349.598125,1571048.7123500002
713188.953525,1570537.847825
713148.0735,1570969.9875500002
713197.260525,1570626.78065
713422.42815,1570915.3850000002
713402.155875,1570384.328075
713510.498325,1570387.1237
713000.6562000001,1570865.5749500003
713385.81345,1570889.2818500001
713257.7099250001,1570448.24405
713541.6176250001,1570389.7595750003
713279.73945,1570657.3568000002
713534.4608250001,1570772.6803250003
713548.007625,1570403.9453750001
713508.3736500001,1570708.9400750003
713351.37135,1570929.9542000003
713228.5236000001,1570621.4769500003
713341.3390500001,1570369.0240250002
713372.9216250001,1570363.528625
713189.06535,1570638.8737250003
713272.6465500001,1571056.5880250002
713266.32045,1570630.0555250002
713710.0260750001,1570508.6774750003
713703.20475,1570503.4856000002
713229.9933000001,1570604.2559000002
713215.440075,1570593.8082500002
713524.6202250001,1570499.2682000003
713277.3911250001,1570683.9392000001
713170.6941000001,1570570.5007250002
713189.6724,1570621.5887750003
713194.2252750001,1570569.2387
713589.830175,1570656.1746500002
